Name,Packaging Type,Price,,
POLY 9x12,POLY,$0.24,,
POLY 6x9,POLY,$0.15,,
POLY 19x24,POLY,$0.75,,
POLY 14x17,POLY,$0.45,,
POLY 12x15,POLY,$0.35,,
KRAFT Recyclable Mailer #2,POLY,$0.45,,
KRAFT Recyclable Mailer #0,POLY,$0.35,,
ENVELOPE 7x9,BOX,$0.35,,a
BUBBLE MAILER #5,POLY,$0.70,,
BUBBLE MAILER #4,POLY,$0.59,,
BUBBLE MAILER #2,POLY,$0.52,,
BUBBLE MAILER #1,POLY,$0.45,,
BUBBLE MAILER #00,POLY,$0.23,,
BUBBLE MAILER #0,POLY,$0.30,,
BOX 9x9x4,BOX,$0.70,,
BOX 9x6x4,BOX,$0.60,,
BOX 9x4x4,BOX,$0.65,,
BOX 8x8x8,BOX,$0.71,,
BOX 8x8x4,BOX,$0.70,,
BOX 8x4x4,BOX,$0.60,,
BOX 6x6x4,BOX,$0.54,,
BOX 6x4x4,BOX,$0.43,,
BOX 4x4x4,BOX,$0.39,,
BOX 24x6x6,BOX,$0.95,,
BOX 24x16x4,BOX,$2.45,,
BOX 24x12x12,BOX,$1.70,,
BOX 22x14x12,BOX,$1.90,,
BOX 20x20x12,BOX,$2.48,,
BOX 20x16x14,BOX,$2.65,,
BOX 18x12x9,BOX,$1.90,,
BOX 17x6x6,BOX,$0.00,,
BOX 16x16x16,BOX,$2.00,,
BOX 16x16x12,BOX,$1.97,,
BOX 14x14x14,BOX,$1.57,,
BOX 14x11x9,BOX,$1.75,,
BOX 14x10x9,BOX,$0.75,,
BOX 14x10x10,BOX,$1.07,,
BOX 12x9x9,BOX,$0.98,,
BOX 12x9x5,BOX,$1.15,,
BOX 12x8x6,BOX,$0.71,,
BOX 12x8x4,BOX,$1.05,,
BOX 12x12x9,BOX,$1.63,,
BOX 12x12x4,BOX,$0.96,,
BOX 12x12x12,BOX,$1.10,,
BOX 12x12x1,BOX,$0.85,,
BOX 11x8x4,BOX,$0.87,,
BOX 11x8x3,BOX,$1.94,,
BOX 11x8x2,BOX,$1.02,,
BOX 11x8x1,BOX,$0.92,,
BOX 10x8x4,BOX,$0.71,,
BOX 10x6x4,BOX,$0.66,,
BOX 10x10x10,BOX,$0.80,,